first_name,last_name,residence,phone_number,email,age,tariff_plan,contract_type,customer_type,income_level,contract_satisfaction,monthly_price,years_in_company,monthly_usage_hours,num_family_lines,churn_probability,churn_reason,recommended_retention_strategy
David,Marquez,"Málaga, España",+34 692269476,david.marquez@hotmail.com,20,Mobile + Fiber (Standard),Annual,Single,Low,High,54.77,10,131,3,Low,,
Jose,Garcia,"Sevilla, España",+34 643142132,jose.garcia@hotmail.com,50,Fiber + TV + Mobile (Basic),Annual,Couple,Low,Low,58.35,3,221,2,Medium,,
Bianca,Herrera,"Málaga, España",+34 656653709,bianca.herrera@hotmail.com,40,Fiber + TV + Mobile (Premium),Monthly,Couple,Medium,Medium,79.48,3,80,4,Low,,
Olga,Castro,"Valencia, España",+34 689314103,olga.castro@hotmail.com,74,Mobile - Basic,Annual,Couple,Low,High,17.24,10,65,1,Medium,,
Martina,Martinez,"Sevilla, España",+34 624861960,martina.martinez@hotmail.com,58,Mobile - Basic,Monthly,Couple,Low,Medium,17.27,6,87,1,High,Better Offers Elsewhere,
Veronica,Sanchez,"Zaragoza, España",+34 690437585,veronica.sanchez@hotmail.com,22,Fiber Only (Premium),Annual,Single,High,Medium,42.63,7,90,0,High,High Price,
Noelia,Moreno,"Bilbao, España",+34 697437232,noelia.moreno@hotmail.com,22,Fiber + TV + Mobile (Premium),Annual,Family,High,Low,79.07,5,232,4,High,Moving to Another Provider,
Valeria,Morales,"Zaragoza, España",+34 688483204,valeria.morales@hotmail.com,18,Fiber + TV + Mobile (Premium),Monthly,Single,Medium,Medium,70.65,6,140,4,Low,,
Estefania,Ortega,"Sevilla, España",+34 679064218,estefania.ortega@hotmail.com,47,Fiber + TV,Annual,Family,High,Low,34.08,1,246,0,High,High Price,
Fatima,Diaz,"Valencia, España",+34 690903923,fatima.diaz@hotmail.com,33,Fiber + TV + Mobile (Premium),Monthly,Single,Low,Medium,71.29,2,31,4,Low,,
Pedro,Leon,"Bilbao, España",+34 696532493,pedro.leon@hotmail.com,79,Fiber + TV,Annual,Couple,Medium,Medium,36.83,5,89,0,Low,,
Raquel,Reyes,"Bilbao, España",+34 670114952,raquel.reyes@hotmail.com,31,Fiber + TV + Mobile (Unlimited),Annual,Couple,Low,High,99.99,9,120,6,Low,,
Lorena,Castillo,"Bilbao, España",+34 683153192,lorena.castillo@hotmail.com,38,Fiber Only (Premium),Monthly,Single,High,Medium,43.17,4,204,0,Low,,
Beatriz,Gil,"Valencia, España",+34 668828869,beatriz.gil@hotmail.com,38,Fiber Only (Basic),Monthly,Couple,High,Low,24.96,1,300,0,High,Low Data Allowance,Extra Data Package
Rosa,Muñoz,"Barcelona, España",+34 601088388,rosa.muñoz@hotmail.com,48,Fiber Only (Basic),Monthly,Family,Medium,High,25.71,8,248,0,Low,,
Roberto,Vazquez,"Valencia, España",+34 664262287,roberto.vazquez@hotmail.com,43,Mobile - Basic,Monthly,Family,Low,Medium,13.62,5,174,1,Low,,
Marta,Lopez,"Zaragoza, España",+34 636548354,marta.lopez@hotmail.com,34,Fiber Only (Premium),Annual,Single,High,High,42.1,4,182,0,Low,,
Angela,Mendez,"Zaragoza, España",+34 650549740,angela.mendez@hotmail.com,59,Fiber + TV,Monthly,Family,Medium,Medium,36.14,7,296,0,Medium,,
Violeta,Hernandez,"Madrid, España",+34 692853019,violeta.hernandez@hotmail.com,67,Fiber + TV + Mobile (Basic),Annual,Single,Low,Medium,53.59,7,194,2,Low,,
Juan,Jimenez,"Málaga, España",+34 627384549,juan.jimenez@hotmail.com,53,Fiber Only (Premium),Annual,Couple,Low,Low,44.57,1,259,0,High,Poor Service,
Joaquin,Perez,"Zaragoza, España",+34 648618988,joaquin.perez@hotmail.com,56,Fiber + TV + Mobile (Premium),Monthly,Single,Low,Medium,73.58,7,153,4,Low,,
Tamara,Rodriguez,"Bilbao, España",+34 607492928,tamara.rodriguez@hotmail.com,63,Fiber + TV + Mobile (Unlimited),Monthly,Family,Low,High,96.86,8,26,6,Low,,
Camila,Iglesias,"Barcelona, España",+34 671354134,camila.iglesias@hotmail.com,40,Fiber + TV,Monthly,Single,Medium,Low,30.83,5,123,0,High,High Price,
Francisco,Ruiz,"Sevilla, España",+34 638268159,francisco.ruiz@hotmail.com,60,Fiber Only (Basic),Monthly,Family,Low,High,28.0,8,190,0,Low,,
Pablo,Peña,"Valencia, España",+34 607045626,pablo.peña@hotmail.com,32,Mobile + Fiber (Standard),Monthly,Family,Medium,Low,54.95,2,137,3,High,No Longer Needed,
Celeste,Cano,"Málaga, España",+34 685964456,celeste.cano@hotmail.com,20,Mobile - Basic,Annual,Single,Medium,High,16.08,10,177,1,Low,,
Gabriel,Guerrero,"Zaragoza, España",+34 696603614,gabriel.guerrero@hotmail.com,78,Fiber + TV + Mobile (Premium),Monthly,Single,Low,High,79.55,7,70,4,Low,,
Nuria,Blanco,"Valencia, España",+34 652228434,nuria.blanco@hotmail.com,33,Mobile - Basic,Monthly,Single,Medium,Medium,19.01,10,295,1,Low,,
Sara,Serrano,"Zaragoza, España",+34 652813160,sara.serrano@hotmail.com,57,Fiber + TV + Mobile (Unlimited),Monthly,Single,Low,High,95.87,5,146,6,Low,,
Ruben,Martin,"Bilbao, España",+34 641674264,ruben.martin@hotmail.com,32,Fiber Only (Premium),Monthly,Couple,High,High,44.42,2,220,0,Low,,
Ricardo,Gutierrez,"Sevilla, España",+34 630977558,ricardo.gutierrez@hotmail.com,45,Mobile - Unlimited,Monthly,Single,High,Medium,47.96,10,90,4,Medium,,
Laura,Cruz,"Sevilla, España",+34 603571226,laura.cruz@hotmail.com,78,Mobile - Unlimited,Annual,Couple,High,Low,49.55,4,272,4,High,Moving to Another Provider,
Ana,Ortiz,"Valencia, España",+34 670206674,ana.ortiz@hotmail.com,76,Fiber Only (Premium),Annual,Single,Medium,Low,48.72,3,265,0,Medium,,
Fernando,Delgado,"Bilbao, España",+34 603715047,fernando.delgado@hotmail.com,64,Fiber + TV + Mobile (Basic),Annual,Couple,Medium,Medium,57.62,8,268,2,Low,,
Emilio,Navarro,"Madrid, España",+34 604571989,emilio.navarro@hotmail.com,39,Mobile - Basic,Annual,Couple,Low,Low,14.76,1,106,1,High,High Price,10% Discount
Rocio,Gonzalez,"Madrid, España",+34 617011573,rocio.gonzalez@hotmail.com,63,Fiber + TV + Mobile (Basic),Annual,Couple,Low,Medium,59.12,8,110,2,High,Poor Service,
Oscar,Aguilar,"Barcelona, España",+34 616873743,oscar.aguilar@hotmail.com,21,Fiber Only (Basic),Annual,Couple,Medium,High,29.81,6,135,0,Low,,
Ariadna,Flores,"Madrid, España",+34 613110156,ariadna.flores@hotmail.com,76,Fiber + TV,Monthly,Single,Low,Medium,34.31,1,243,0,Low,,
Mario,Molina,"Málaga, España",+34 610151389,mario.molina@hotmail.com,34,Fiber + TV + Mobile (Basic),Monthly,Family,Medium,High,54.87,6,52,2,Low,,
Montserrat,Romero,"Zaragoza, España",+34 611286986,montserrat.romero@hotmail.com,55,Mobile + Fiber (Standard),Annual,Couple,Low,Medium,51.35,4,140,3,High,High Price,10% Discount
Elena,Ramos,"Zaragoza, España",+34 658318046,elena.ramos@hotmail.com,72,Mobile - Standard,Annual,Couple,Medium,High,21.78,10,259,2,Low,,
Claudia,Torres,"Sevilla, España",+34 669181643,claudia.torres@hotmail.com,54,Fiber + TV + Mobile (Basic),Monthly,Couple,Low,High,56.23,2,35,2,Low,,
Sofia,Vega,"Valencia, España",+34 639470328,sofia.vega@hotmail.com,40,Mobile + Fiber (Standard),Annual,Family,Medium,Medium,57.88,5,225,3,Low,,
Daniela,Alvarez,"Sevilla, España",+34 654971158,daniela.alvarez@hotmail.com,53,Mobile - Unlimited,Monthly,Couple,High,High,40.27,8,242,4,Low,,
Carolina,Santos,"Bilbao, España",+34 630558309,carolina.santos@hotmail.com,21,Mobile - Standard,Annual,Couple,High,High,25.6,10,243,2,Medium,,
Victoria,Dominguez,"Valencia, España",+34 635927546,victoria.dominguez@hotmail.com,61,Fiber Only (Basic),Monthly,Single,High,High,26.18,8,150,0,Medium,,
Ismael,Ramirez,"Zaragoza, España",+34 662440002,ismael.ramirez@hotmail.com,65,Mobile - Unlimited,Annual,Couple,Low,Medium,44.82,6,20,4,Low,,
Raul,Gomez,"Bilbao, España",+34 646462531,raul.gomez@hotmail.com,72,Mobile - Unlimited,Annual,Single,High,Low,47.46,5,108,4,High,No Longer Needed,Contract Freeze
Gabriela,Fernandez,"Barcelona, España",+34 635912424,gabriela.fernandez@hotmail.com,52,Mobile - Basic,Annual,Family,Medium,Low,18.2,4,112,1,High,High Price,
Paula,Campos,"Sevilla, España",+34 626387445,paula.campos@hotmail.com,35,Mobile - Basic,Monthly,Couple,Low,High,16.23,6,114,1,Low,,
Irene,Marquez,"Sevilla, España",+34 636703282,irene.marquez@hotmail.com,43,Fiber Only (Basic),Monthly,Single,High,High,27.63,8,173,0,Medium,,
Mireia,Garcia,"Málaga, España",+34 671210958,mireia.garcia@hotmail.com,40,Fiber + TV,Annual,Couple,Medium,Medium,36.23,2,166,0,Low,,
Isabel,Herrera,"Madrid, España",+34 603741194,isabel.herrera@hotmail.com,56,Fiber + TV + Mobile (Basic),Monthly,Couple,Low,High,57.67,9,172,2,Low,,
Natalia,Castro,"Málaga, España",+34 666285385,natalia.castro@hotmail.com,78,Fiber + TV + Mobile (Basic),Annual,Single,Medium,Medium,55.57,3,80,2,Medium,,
Manuel,Martinez,"Zaragoza, España",+34 626911500,manuel.martinez@hotmail.com,18,Fiber + TV,Monthly,Family,High,High,31.2,8,294,0,Low,,
Silvia,Sanchez,"Madrid, España",+34 686283719,silvia.sanchez@hotmail.com,40,Fiber + TV + Mobile (Unlimited),Annual,Family,Medium,Medium,96.64,8,68,6,Medium,,
Marina,Moreno,"Madrid, España",+34 682285397,marina.moreno@hotmail.com,44,Mobile - Basic,Monthly,Couple,Medium,Medium,13.38,7,176,1,Low,,
Lucia,Morales,"Valencia, España",+34 687965647,lucia.morales@hotmail.com,31,Fiber + TV + Mobile (Unlimited),Monthly,Couple,Medium,Medium,97.28,9,35,6,Medium,,
Felipe,Ortega,"Málaga, España",+34 618633521,felipe.ortega@hotmail.com,49,Fiber Only (Basic),Monthly,Single,Low,High,29.54,8,217,0,Medium,,
Esteban,Diaz,"Valencia, España",+34 628657127,esteban.diaz@hotmail.com,34,Fiber Only (Basic),Annual,Couple,Medium,High,24.8,2,45,0,Medium,,
Ignacio,Leon,"Sevilla, España",+34 685989608,ignacio.leon@hotmail.com,56,Mobile - Basic,Annual,Single,Medium,High,12.51,3,190,1,Low,,
Antonio,Reyes,"Zaragoza, España",+34 644945118,antonio.reyes@hotmail.com,36,Mobile + Fiber (Standard),Annual,Single,Medium,Medium,57.63,4,93,3,High,No Longer Needed,
Sergio,Castillo,"Zaragoza, España",+34 677515309,sergio.castillo@hotmail.com,25,Fiber Only (Premium),Annual,Family,Medium,High,49.21,9,164,0,Low,,
Lucas,Gil,"Bilbao, España",+34 621036590,lucas.gil@hotmail.com,53,Fiber + TV + Mobile (Unlimited),Annual,Couple,Medium,High,92.03,8,204,6,Low,,
Marisol,Muñoz,"Sevilla, España",+34 664148873,marisol.muñoz@hotmail.com,78,Fiber + TV + Mobile (Basic),Annual,Couple,High,Low,58.68,1,121,2,High,Better Offers Elsewhere,
Diego,Vazquez,"Bilbao, España",+34 688599387,diego.vazquez@hotmail.com,44,Fiber + TV + Mobile (Basic),Monthly,Family,Medium,High,59.25,5,164,2,Low,,
Carla,Lopez,"Zaragoza, España",+34 615352606,carla.lopez@hotmail.com,50,Fiber Only (Basic),Annual,Single,High,High,21.05,7,207,0,Medium,,
Florencia,Mendez,"Sevilla, España",+34 612508956,florencia.mendez@hotmail.com,48,Mobile - Basic,Monthly,Single,Low,Low,10.88,3,203,1,High,High Price,10% Discount
Salvador,Hernandez,"Barcelona, España",+34 614407038,salvador.hernandez@hotmail.com,49,Fiber Only (Basic),Monthly,Single,Medium,High,28.64,6,66,0,Low,,
Victor,Jimenez,"Zaragoza, España",+34 618480895,victor.jimenez@hotmail.com,68,Fiber + TV,Annual,Single,Medium,High,32.33,9,40,0,Low,,
Vanessa,Perez,"Málaga, España",+34 618095668,vanessa.perez@hotmail.com,34,Fiber + TV + Mobile (Unlimited),Annual,Family,Low,Low,92.97,1,298,6,Medium,,
Clara,Rodriguez,"Málaga, España",+34 605277898,clara.rodriguez@hotmail.com,53,Fiber + TV + Mobile (Unlimited),Annual,Couple,High,High,93.43,10,195,6,Medium,,
Carmen,Iglesias,"Valencia, España",+34 602780962,carmen.iglesias@hotmail.com,25,Fiber + TV,Monthly,Single,Low,High,31.22,6,44,0,Low,,
Lidia,Ruiz,"Málaga, España",+34 622615477,lidia.ruiz@hotmail.com,73,Fiber + TV,Monthly,Couple,High,High,32.76,7,69,0,Low,,
Carlos,Peña,"Zaragoza, España",+34 668491215,carlos.peña@hotmail.com,60,Fiber Only (Premium),Annual,Single,Low,Medium,41.02,6,235,0,Low,,
Cristina,Cano,"Sevilla, España",+34 679026498,cristina.cano@hotmail.com,39,Mobile - Standard,Annual,Single,Low,Low,24.24,1,128,2,High,Low Data Allowance,Upgrade to Better Plan
Diana,Guerrero,"Valencia, España",+34 660109007,diana.guerrero@hotmail.com,54,Fiber Only (Premium),Monthly,Family,Low,Low,43.78,5,50,0,High,High Price,10% Discount
Sandra,Blanco,"Valencia, España",+34 608282837,sandra.blanco@hotmail.com,42,Fiber + TV + Mobile (Premium),Monthly,Family,Medium,High,70.04,6,72,4,Low,,
Andres,Serrano,"Zaragoza, España",+34 644337295,andres.serrano@hotmail.com,54,Mobile - Unlimited,Monthly,Single,Low,High,45.4,2,50,4,Low,,
Milagros,Martin,"Málaga, España",+34 689367091,milagros.martin@hotmail.com,41,Mobile - Standard,Annual,Family,Low,Medium,24.98,4,261,2,Medium,,
Adrian,Gutierrez,"Bilbao, España",+34 692114859,adrian.gutierrez@hotmail.com,20,Fiber Only (Premium),Monthly,Couple,Low,High,41.54,3,88,0,Medium,,
Matias,Cruz,"Valencia, España",+34 601425801,matias.cruz@hotmail.com,53,Fiber Only (Premium),Annual,Family,High,High,43.76,6,123,0,Low,,
Luis,Ortiz,"Zaragoza, España",+34 600358199,luis.ortiz@hotmail.com,24,Fiber + TV + Mobile (Basic),Monthly,Family,Medium,High,51.63,8,181,2,Low,,
Alberto,Delgado,"Barcelona, España",+34 677146368,alberto.delgado@hotmail.com,18,Mobile - Basic,Annual,Single,Low,High,16.22,5,74,1,Low,,
Eva,Navarro,"Bilbao, España",+34 683710577,eva.navarro@hotmail.com,68,Fiber + TV + Mobile (Unlimited),Monthly,Couple,High,High,91.5,1,199,6,Low,,
Belen,Gonzalez,"Valencia, España",+34 672635779,belen.gonzalez@hotmail.com,22,Fiber + TV,Annual,Couple,Low,High,31.77,6,240,0,Low,,
Enrique,Aguilar,"Bilbao, España",+34 646127173,enrique.aguilar@hotmail.com,25,Mobile - Unlimited,Monthly,Family,Medium,Medium,40.92,10,144,4,Low,,
Emma,Flores,"Bilbao, España",+34 651977835,emma.flores@hotmail.com,39,Fiber + TV + Mobile (Premium),Annual,Family,High,High,78.35,6,273,4,Low,,
Patricia,Molina,"Zaragoza, España",+34 659633195,patricia.molina@hotmail.com,29,Fiber + TV + Mobile (Premium),Annual,Family,High,High,72.44,9,283,4,Low,,
Teresa,Romero,"Zaragoza, España",+34 684505434,teresa.romero@hotmail.com,27,Fiber Only (Premium),Monthly,Single,Medium,Low,45.6,5,293,0,Medium,,
Daniel,Ramos,"Bilbao, España",+34 695389464,daniel.ramos@hotmail.com,52,Fiber + TV + Mobile (Basic),Annual,Single,Low,Medium,53.06,5,112,2,High,Poor Service,
Hugo,Torres,"Madrid, España",+34 643239076,hugo.torres@hotmail.com,68,Fiber + TV + Mobile (Premium),Annual,Couple,Medium,High,70.32,7,167,4,Low,,
Andrea,Vega,"Bilbao, España",+34 673799967,andrea.vega@hotmail.com,53,Fiber + TV,Monthly,Couple,Low,Low,36.19,1,170,0,Medium,,
Maria,Alvarez,"Valencia, España",+34 641706743,maria.alvarez@hotmail.com,24,Mobile - Unlimited,Monthly,Family,Low,Medium,43.22,6,122,4,High,Moving to Another Provider,
Miguel,Santos,"Sevilla, España",+34 648218741,miguel.santos@hotmail.com,55,Mobile - Standard,Monthly,Single,Low,Medium,28.08,3,161,2,High,Better Offers Elsewhere,
Alejandro,Dominguez,"Málaga, España",+34 651088630,alejandro.dominguez@hotmail.com,56,Fiber + TV,Monthly,Family,High,High,32.86,1,116,0,Low,,
Alicia,Ramirez,"Valencia, España",+34 677234128,alicia.ramirez@hotmail.com,74,Fiber + TV,Annual,Couple,Low,High,36.03,10,170,0,Low,,
Julian,Gomez,"Málaga, España",+34 687508330,julian.gomez@hotmail.com,60,Fiber Only (Basic),Annual,Couple,Medium,Medium,25.8,7,229,0,Medium,,
Javier,Fernandez,"Madrid, España",+34 692150549,javier.fernandez@hotmail.com,75,Fiber + TV + Mobile (Unlimited),Annual,Single,Low,High,99.19,8,41,6,Low,,
Julia,Campos,"Málaga, España",+34 615361140,julia.campos@hotmail.com,63,Fiber + TV + Mobile (Unlimited),Monthly,Couple,High,High,94.19,6,239,6,Low,,
David,Marquez,"Sevilla, España",+34 617279643,david.marquez@hotmail.com,65,Fiber + TV + Mobile (Unlimited),Annual,Couple,Low,High,95.67,9,33,6,Low,,
Jose,Garcia,"Bilbao, España",+34 678719411,jose.garcia@hotmail.com,66,Fiber Only (Basic),Monthly,Couple,High,Medium,29.99,3,257,0,Low,,
Bianca,Herrera,"Barcelona, España",+34 654183694,bianca.herrera@hotmail.com,19,Fiber + TV + Mobile (Unlimited),Annual,Couple,High,Medium,96.42,4,243,6,Low,,
Olga,Castro,"Sevilla, España",+34 604997742,olga.castro@hotmail.com,63,Fiber + TV + Mobile (Premium),Annual,Couple,Medium,Medium,72.47,3,174,4,High,Low Data Allowance,Upgrade to Better Plan
Martina,Martinez,"Bilbao, España",+34 620469147,martina.martinez@hotmail.com,54,Fiber Only (Premium),Monthly,Couple,High,Medium,48.95,1,231,0,Medium,,
Veronica,Sanchez,"Málaga, España",+34 613885602,veronica.sanchez@hotmail.com,77,Fiber + TV + Mobile (Basic),Monthly,Family,High,Medium,51.0,7,84,2,Medium,,
Noelia,Moreno,"Madrid, España",+34 615038978,noelia.moreno@hotmail.com,31,Mobile - Basic,Annual,Family,Medium,Low,14.53,3,91,1,Medium,,
Valeria,Morales,"Málaga, España",+34 619697482,valeria.morales@hotmail.com,52,Fiber + TV,Annual,Single,High,Medium,32.45,6,114,0,High,Poor Service,Dedicated Customer Support
Estefania,Ortega,"Madrid, España",+34 680291933,estefania.ortega@hotmail.com,19,Fiber + TV + Mobile (Unlimited),Annual,Couple,Low,Medium,90.64,8,270,6,Medium,,
Fatima,Diaz,"Barcelona, España",+34 651854821,fatima.diaz@hotmail.com,40,Fiber + TV + Mobile (Basic),Monthly,Family,High,Low,50.62,1,298,2,High,Low Data Allowance,Extra Data Package
Pedro,Leon,"Málaga, España",+34 665614724,pedro.leon@hotmail.com,79,Fiber + TV,Annual,Single,High,High,38.57,9,263,0,Low,,
Raquel,Reyes,"Bilbao, España",+34 633103550,raquel.reyes@hotmail.com,78,Fiber + TV,Annual,Family,High,Low,39.84,4,194,0,High,Moving to Another Provider,
Lorena,Castillo,"Barcelona, España",+34 693511728,lorena.castillo@hotmail.com,27,Fiber Only (Premium),Annual,Family,High,High,42.99,10,92,0,Low,,
Beatriz,Gil,"Zaragoza, España",+34 623170001,beatriz.gil@hotmail.com,50,Fiber + TV + Mobile (Basic),Monthly,Couple,High,High,59.33,8,250,2,Low,,
Rosa,Muñoz,"Zaragoza, España",+34 627411450,rosa.muñoz@hotmail.com,66,Fiber + TV + Mobile (Unlimited),Annual,Couple,High,Medium,90.48,4,128,6,Low,,
Roberto,Vazquez,"Valencia, España",+34 625186626,roberto.vazquez@hotmail.com,35,Mobile - Unlimited,Annual,Single,Medium,High,41.56,9,284,4,Low,,
Marta,Lopez,"Málaga, España",+34 604896894,marta.lopez@hotmail.com,22,Fiber + TV + Mobile (Unlimited),Annual,Couple,Low,High,90.08,8,282,6,Low,,
Angela,Mendez,"Bilbao, España",+34 691563855,angela.mendez@hotmail.com,29,Fiber + TV + Mobile (Unlimited),Annual,Couple,Low,High,93.86,1,183,6,Low,,
Violeta,Hernandez,"Zaragoza, España",+34 656166875,violeta.hernandez@hotmail.com,32,Fiber + TV + Mobile (Unlimited),Monthly,Single,Medium,High,97.75,7,59,6,Low,,
Juan,Jimenez,"Madrid, España",+34 611247355,juan.jimenez@hotmail.com,18,Fiber + TV + Mobile (Unlimited),Annual,Couple,Low,High,96.93,5,235,6,Low,,
Joaquin,Perez,"Bilbao, España",+34 601498362,joaquin.perez@hotmail.com,67,Fiber Only (Premium),Annual,Couple,Low,Low,40.55,5,257,0,High,Low Data Allowance,Extra Data Package
Tamara,Rodriguez,"Málaga, España",+34 682450289,tamara.rodriguez@hotmail.com,51,Fiber Only (Basic),Annual,Couple,Medium,High,22.95,7,134,0,Low,,
Camila,Iglesias,"Málaga, España",+34 654316079,camila.iglesias@hotmail.com,40,Mobile - Basic,Annual,Single,Low,High,19.6,7,182,1,Low,,
Francisco,Ruiz,"Valencia, España",+34 667573069,francisco.ruiz@hotmail.com,73,Fiber + TV + Mobile (Basic),Monthly,Family,High,Low,58.4,2,143,2,High,Better Offers Elsewhere,
Pablo,Peña,"Barcelona, España",+34 684651879,pablo.peña@hotmail.com,26,Fiber + TV,Annual,Family,Medium,High,39.7,6,157,0,Low,,
Celeste,Cano,"Sevilla, España",+34 685184926,celeste.cano@hotmail.com,24,Fiber + TV + Mobile (Basic),Monthly,Single,High,High,58.53,6,147,2,Low,,
Gabriel,Guerrero,"Zaragoza, España",+34 691483380,gabriel.guerrero@hotmail.com,54,Mobile - Unlimited,Monthly,Couple,Low,High,46.51,8,130,4,Low,,
Nuria,Blanco,"Valencia, España",+34 648408196,nuria.blanco@hotmail.com,50,Fiber Only (Basic),Monthly,Family,Medium,Medium,25.56,2,131,0,Medium,,
Sara,Serrano,"Bilbao, España",+34 642778025,sara.serrano@hotmail.com,59,Fiber + TV,Annual,Family,Low,High,37.9,4,219,0,Low,,
Ruben,Martin,"Málaga, España",+34 609354025,ruben.martin@hotmail.com,68,Mobile - Basic,Annual,Single,Low,Low,15.3,3,97,1,High,No Longer Needed,Contract Freeze
Ricardo,Gutierrez,"Barcelona, España",+34 625801378,ricardo.gutierrez@hotmail.com,61,Mobile - Basic,Monthly,Family,Low,High,19.96,8,47,1,Low,,
Laura,Cruz,"Madrid, España",+34 625084762,laura.cruz@hotmail.com,50,Mobile + Fiber (Standard),Monthly,Single,High,Low,52.87,5,49,3,High,Poor Service,Dedicated Customer Support
Ana,Ortiz,"Málaga, España",+34 626869630,ana.ortiz@hotmail.com,63,Fiber + TV + Mobile (Unlimited),Monthly,Family,Medium,Medium,96.08,8,89,6,Low,,
Fernando,Delgado,"Málaga, España",+34 627327869,fernando.delgado@hotmail.com,32,Fiber + TV,Annual,Couple,Medium,High,32.39,8,202,0,Low,,
Emilio,Navarro,"Valencia, España",+34 659930624,emilio.navarro@hotmail.com,39,Mobile - Unlimited,Annual,Couple,High,Medium,48.41,8,163,4,Medium,,
Rocio,Gonzalez,"Zaragoza, España",+34 653555206,rocio.gonzalez@hotmail.com,24,Mobile + Fiber (Standard),Annual,Couple,Low,High,52.72,8,262,3,Low,,
Oscar,Aguilar,"Zaragoza, España",+34 676371283,oscar.aguilar@hotmail.com,50,Mobile - Basic,Annual,Single,Medium,High,12.37,9,228,1,Low,,
Ariadna,Flores,"Madrid, España",+34 632344971,ariadna.flores@hotmail.com,54,Mobile - Unlimited,Monthly,Family,Medium,Medium,45.7,4,238,4,Low,,
Mario,Molina,"Bilbao, España",+34 602462026,mario.molina@hotmail.com,49,Mobile - Basic,Monthly,Single,Low,Medium,16.42,5,109,1,Medium,,
Montserrat,Romero,"Valencia, España",+34 639679779,montserrat.romero@hotmail.com,76,Fiber + TV + Mobile (Premium),Annual,Single,Low,High,79.73,9,172,4,Low,,
Elena,Ramos,"Sevilla, España",+34 699605109,elena.ramos@hotmail.com,43,Fiber + TV + Mobile (Basic),Annual,Family,High,High,56.42,4,185,2,Low,,
Claudia,Torres,"Valencia, España",+34 650091237,claudia.torres@hotmail.com,68,Fiber + TV + Mobile (Basic),Monthly,Couple,Low,High,50.09,1,252,2,Low,,
Sofia,Vega,"Madrid, España",+34 650151017,sofia.vega@hotmail.com,20,Fiber + TV + Mobile (Premium),Monthly,Family,High,High,76.86,3,266,4,Low,,
Daniela,Alvarez,"Zaragoza, España",+34 647465717,daniela.alvarez@hotmail.com,45,Fiber + TV,Annual,Couple,Low,Medium,30.03,6,96,0,Medium,,
Carolina,Santos,"Sevilla, España",+34 680129338,carolina.santos@hotmail.com,67,Fiber + TV + Mobile (Premium),Monthly,Single,High,Medium,72.76,7,279,4,Low,,
Victoria,Dominguez,"Málaga, España",+34 633410222,victoria.dominguez@hotmail.com,45,Fiber + TV + Mobile (Unlimited),Annual,Single,Medium,Medium,98.27,6,61,6,Medium,,
Ismael,Ramirez,"Valencia, España",+34 621101792,ismael.ramirez@hotmail.com,36,Mobile + Fiber (Standard),Monthly,Couple,High,High,54.63,7,67,3,Low,,
Raul,Gomez,"Madrid, España",+34 619159290,raul.gomez@hotmail.com,37,Mobile + Fiber (Standard),Annual,Couple,Low,High,52.7,8,208,3,Low,,
Gabriela,Fernandez,"Bilbao, España",+34 615397016,gabriela.fernandez@hotmail.com,28,Mobile + Fiber (Standard),Annual,Single,Low,High,59.63,8,247,3,Low,,
Paula,Campos,"Málaga, España",+34 661455826,paula.campos@hotmail.com,63,Mobile - Standard,Monthly,Family,Low,Medium,28.57,4,56,2,High,Better Offers Elsewhere,
Irene,Marquez,"Madrid, España",+34 660433391,irene.marquez@hotmail.com,34,Mobile - Basic,Annual,Single,Low,High,11.2,8,53,1,Low,,
Mireia,Garcia,"Zaragoza, España",+34 661907460,mireia.garcia@hotmail.com,53,Mobile - Standard,Monthly,Family,Low,High,23.87,1,180,2,Low,,
Isabel,Herrera,"Valencia, España",+34 625414152,isabel.herrera@hotmail.com,29,Fiber + TV + Mobile (Basic),Monthly,Family,Low,Medium,55.74,5,160,2,Medium,,
Natalia,Castro,"Valencia, España",+34 650493680,natalia.castro@hotmail.com,55,Fiber + TV + Mobile (Unlimited),Monthly,Single,High,High,99.42,9,46,6,Low,,
Manuel,Martinez,"Bilbao, España",+34 634620813,manuel.martinez@hotmail.com,55,Fiber + TV + Mobile (Unlimited),Monthly,Family,Low,Low,92.03,4,286,6,Medium,,
Silvia,Sanchez,"Zaragoza, España",+34 633880670,silvia.sanchez@hotmail.com,51,Mobile - Basic,Monthly,Family,High,High,11.0,10,281,1,Low,,
Marina,Moreno,"Barcelona, España",+34 647686053,marina.moreno@hotmail.com,23,Fiber + TV + Mobile (Unlimited),Monthly,Couple,Medium,Medium,96.07,8,102,6,Medium,,
Lucia,Morales,"Sevilla, España",+34 646351600,lucia.morales@hotmail.com,26,Fiber Only (Basic),Monthly,Family,Medium,Medium,26.98,1,239,0,High,Low Data Allowance,Extra Data Package
Felipe,Ortega,"Madrid, España",+34 671552182,felipe.ortega@hotmail.com,33,Mobile - Basic,Monthly,Couple,High,Medium,11.76,2,112,1,High,High Price,
Esteban,Diaz,"Valencia, España",+34 670908422,esteban.diaz@hotmail.com,72,Mobile + Fiber (Standard),Annual,Single,High,High,50.74,10,224,3,Low,,
Ignacio,Leon,"Zaragoza, España",+34 625273573,ignacio.leon@hotmail.com,22,Mobile + Fiber (Standard),Monthly,Single,Medium,Low,52.1,5,255,3,High,Better Offers Elsewhere,iPhone Discount or Free Device
